Năm sản xuất,Tình trạng,Kiểu dáng,Số Km đã đi,Xuất xứ,Hãng xe,Dẫn động,Số chỗ ngồi,Địa điểm,Động cơ,Hộp số,Giá,Cụm số
2022,1,5,-0.13445935245037588,1,18,3,7,17,5,1,0.56998556998557,2
2024,0,5,-0.5378374098015035,1,46,3,7,17,45,1,2.069264069264069,0
2007,1,6,0.5132571441296393,1,69,2,5,46,53,1,-0.5194805194805194,1
2024,0,5,-0.5378374098015035,1,46,1,7,17,59,1,6.096681096681096,0
2023,0,5,-0.5378374098015035,1,64,2,7,45,28,0,-0.2972582972582973,0
2024,0,6,-0.5378374098015035,0,69,2,5,45,47,0,-0.3203463203463203,1
2023,0,4,-0.5378374098015035,1,64,2,5,45,43,1,-0.19624819624819625,0
2023,0,6,-0.5378374098015035,0,46,3,5,17,50,1,3.1082251082251084,0
2023,0,8,-0.5378374098015035,1,46,3,6,17,50,1,3.981240981240981,0
2024,0,5,-0.5378374098015035,1,48,2,7,17,47,1,-0.06493506493506493,0
2021,1,5,-0.05378374098015035,0,18,2,5,45,47,1,-0.20202020202020202,0
2022,1,5,-0.2823646401457894,1,69,2,5,45,30,1,0.3088023088023088,1
2018,1,6,0.26891870490075176,0,25,2,5,17,47,1,-0.36075036075036077,0
2007,1,6,2.0168902867556384,0,69,2,5,17,53,1,-0.5425685425685426,1
2017,1,6,0.1075674819603007,0,46,3,5,45,50,1,0.9292929292929293,0
2022,1,5,-0.5373668020679272,0,46,1,5,45,50,1,2.4444444444444446,0
2022,1,3,-0.37917537391006,1,27,2,5,30,47,1,-0.02886002886002886,0
2020,1,0,-0.13445935245037588,1,18,0,5,45,5,1,0.4329004329004329,2
2020,1,5,0.5132571441296393,1,18,3,7,45,5,1,0.3823953823953824,2
2016,1,0,1.479052876954135,1,18,3,5,45,7,0,-0.37518037518037517,2
2021,0,5,-0.5378374098015035,1,36,1,5,45,50,1,6.3997113997114,0
2015,1,6,-0.5368424105933708,0,34,2,5,45,50,1,-0.4184704184704185,0
2018,1,4,-0.29581057539082695,1,47,2,5,17,50,1,1.0735930735930737,0
2015,1,6,1.4924988121991725,0,46,3,5,58,50,1,-0.11544011544011544,0
2024,0,6,-0.5378374098015035,1,37,2,5,17,54,1,2.965367965367965,0
2023,1,5,-0.3495943163709773,0,48,2,7,17,47,0,-0.18759018759018758,0
2022,1,6,-0.06722967622518794,1,46,3,5,17,50,1,1.7662337662337662,0
2023,0,6,-0.5378374098015035,0,2,3,5,17,50,1,1.0678210678210678,0
2004,1,5,-0.5244049204917111,0,69,3,8,45,49,0,-0.7070707070707071,1
2021,1,5,-0.026891870490075177,1,18,1,7,17,52,1,1.7171717171717171,0
2023,1,5,-0.5109589852466734,0,34,2,7,17,47,1,0.02886002886002886,0
2024,0,5,-0.5378374098015035,0,69,2,7,45,47,1,-0.03607503607503607,1
2024,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.167388167388167,0
2024,0,5,-0.5378374098015035,1,48,2,7,41,47,1,0.004329004329004329,0
2019,1,4,0.16135122294045107,0,44,2,5,17,47,1,-0.25252525252525254,0
2024,0,8,-0.5378374098015035,0,34,2,7,17,7,1,1.0591630591630592,2
2024,0,5,-0.5378374098015035,1,33,0,5,45,50,1,4.953823953823954,0
2020,1,4,0.1075674819603007,0,70,2,5,22,46,1,-0.5079365079365079,1
2024,0,5,-0.5378374098015035,0,70,2,5,45,90,1,0.15873015873015872,1
2008,1,6,0.9412154671526313,0,69,2,5,20,49,1,-0.5555555555555556,1
2015,1,5,0.524391474556466,0,27,0,7,17,53,1,-0.09379509379509379,0
2022,1,5,0.08605398556824057,0,46,1,5,17,50,1,1.7821067821067822,0
2006,1,5,-0.5363583569245495,0,69,0,8,45,72,0,-0.22510822510822512,0
2014,1,5,0.8067561147022554,1,69,0,7,17,56,1,0.5844155844155844,0
2014,1,5,0.4033780573511277,1,44,1,7,17,65,1,-0.2741702741702742,0
2010,1,5,1.344593524503759,1,52,1,5,48,75,1,0.41125541125541126,0
2023,0,0,-0.5378374098015035,1,50,0,5,45,8,1,0.20202020202020202,2
2018,1,6,0.3765265246667876,0,44,2,5,17,47,1,-0.27705627705627706,0
2021,1,5,0.06722967622518794,0,27,1,7,17,7,1,0.6681096681096681,2
2013,1,6,0.55800631266906,0,69,2,5,17,47,1,-0.4862914862914863,1
2019,1,6,0.5109858771171635,0,69,2,5,17,47,1,-0.3434343434343434,1
2017,1,5,0.1210134172053383,1,37,1,5,45,50,1,1.927849927849928,0
2022,1,5,-0.32270244588090213,1,37,1,5,17,53,1,4.177489177489178,0
2016,1,5,0.5132571441296393,1,52,1,5,17,64,1,1.6507936507936507,0
2022,1,4,-0.41682399259616526,0,27,2,5,17,44,1,-0.3463203463203463,0
2019,1,8,0.17479715818548866,0,34,2,7,45,7,1,0.3088023088023088,2
2024,0,0,-0.5378374098015035,0,18,0,5,45,5,1,0.4675324675324675,2
2024,0,5,-0.5378374098015035,1,18,3,7,45,5,1,0.9292929292929293,2
2024,0,0,-0.5378374098015035,0,18,3,5,45,5,1,0.07503607503607504,2
2006,1,6,6.185130212717291,0,48,2,5,17,48,1,-0.759018759018759,0
1999,1,6,0.5132571441296393,0,44,2,5,17,50,0,-0.8513708513708513,0
2023,0,5,-0.5378374098015035,1,63,1,5,45,50,1,0.3088023088023088,0
2023,0,5,-0.5378374098015035,1,23,2,5,45,28,1,0.3333333333333333,0
2024,0,5,-0.5378374098015035,1,37,1,7,17,62,1,11.32034632034632,0
2021,1,6,-0.13445935245037588,0,70,3,5,17,50,1,-0.050505050505050504,1
2022,1,5,-0.27026329842525554,1,37,1,5,17,50,1,3.380952380952381,0
2018,1,8,0.7395264384770674,0,34,2,7,45,7,1,0.2453102453102453,2
2009,1,4,0.2151349639206014,1,69,2,5,45,49,1,-0.45454545454545453,1
2015,1,5,0.4033780573511277,1,48,2,5,17,50,1,-0.25252525252525254,0
2006,1,5,0.9412154671526313,0,69,0,8,45,72,0,-0.22510822510822512,0
2021,1,5,-0.026891870490075177,1,1,1,7,45,59,1,2.7474747474747474,0
2021,1,6,0.1075674819603007,1,46,3,5,17,59,1,5.548340548340549,0
2020,1,3,0.13177016540136838,1,1,2,5,17,46,1,0.9307359307359307,0
2021,1,6,-0.04033780573511277,0,44,2,5,17,47,1,-0.06493506493506493,0
2014,1,4,0.5916211507816539,0,64,2,5,17,46,1,-0.5339105339105339,0
2014,1,5,0.3267362264544134,1,36,1,4,17,76,1,4.96969696969697,0
2018,1,5,0.33614838112593975,0,34,2,7,17,53,1,-0.10822510822510822,0
2024,0,8,-0.5378374098015035,1,72,2,7,45,50,1,2.212121212121212,0
2013,1,5,1.344593524503759,0,25,2,5,17,50,1,-0.31746031746031744,0
2014,1,5,0.29581057539082695,1,36,1,5,17,50,1,0.2077922077922078,0
2019,1,6,0.33614838112593975,0,44,2,5,17,54,1,-0.06493506493506493,0
2015,1,6,1.11601262533812,0,69,2,5,1,50,1,-0.1919191919191919,1
2022,1,5,0.0,0,27,1,7,17,7,1,0.7792207792207793,2
2024,0,5,-0.5378374098015035,1,33,0,5,45,50,1,4.953823953823954,0
2013,1,5,0.8067561147022554,0,25,2,5,17,53,1,-0.2813852813852814,0
2018,1,6,0.13445935245037588,0,44,2,5,58,50,1,-0.16594516594516595,0
2023,0,6,-0.5378374098015035,1,37,2,5,17,54,1,2.965367965367965,0
2020,1,6,0.6050670860266915,0,44,2,5,17,47,1,-0.16594516594516595,0
2023,0,5,-0.5378374098015035,1,23,2,5,45,28,1,0.3333333333333333,0
2004,1,6,1.3311475892587212,0,69,2,5,17,49,0,-0.7445887445887446,1
2023,1,6,-0.4712800303385675,0,27,2,5,17,46,1,-0.25252525252525254,0
2021,1,5,-0.05378374098015035,0,44,2,5,17,50,1,0.18037518037518038,0
2015,1,0,1.9227687400403752,1,50,0,5,17,10,1,-0.3463203463203463,2
2021,1,5,0.17479715818548866,0,27,1,7,17,7,1,0.5988455988455988,2
2024,1,5,-0.3630402516160149,0,69,2,7,17,47,1,-0.01443001443001443,1
2019,1,6,0.14790528769541347,1,69,2,5,17,50,1,0.20202020202020202,1
2004,1,5,-0.5351482227524961,0,18,0,5,17,52,1,-0.7200577200577201,0
2019,1,5,-0.13445935245037588,1,46,1,5,17,68,1,11.29004329004329,0
2019,1,5,0.3495943163709773,1,73,1,7,45,50,1,2.2005772005772006,0
2018,1,6,0.7901503846746339,0,44,2,5,17,47,1,-0.2958152958152958,0
2020,1,6,0.4033780573511277,0,44,2,5,45,50,1,-0.08080808080808081,0
2024,0,0,-0.5378374098015035,0,18,3,5,45,5,1,0.06060606060606061,2
2016,1,6,0.7798642442121801,0,69,2,5,1,50,1,-0.17316017316017315,1
2023,1,6,-0.4840536688213532,0,25,2,5,17,47,1,-0.1673881673881674,0
2024,0,5,-0.5378374098015035,1,18,3,7,45,5,1,0.6190476190476191,2
2020,1,3,-0.08067561147022553,0,27,2,5,17,50,1,0.1341991341991342,0
2024,0,5,-0.5378374098015035,1,33,0,5,45,50,1,4.953823953823954,0
2022,1,8,-0.26891870490075176,0,34,2,7,45,7,1,0.974025974025974,2
2018,1,5,0.13445935245037588,1,69,3,7,17,9,0,0.2077922077922078,1
2019,1,5,-0.13445935245037588,0,18,2,5,45,41,1,-0.2453102453102453,0
2008,1,5,0.5132571441296393,1,52,1,5,17,75,1,-0.22510822510822512,0
2024,0,8,-0.5378374098015035,1,72,2,7,17,50,1,1.924963924963925,0
2017,1,6,-0.1075674819603007,0,46,3,5,17,50,1,0.6132756132756133,0
2021,1,3,0.2151349639206014,0,69,3,7,45,50,1,0.20202020202020202,1
2020,1,8,0.33614838112593975,0,34,2,7,45,7,1,0.3463203463203463,2
2023,0,6,-0.5378374098015035,1,37,2,5,17,33,1,3.585858585858586,0
2024,0,5,-0.5378374098015035,1,69,1,7,17,62,1,5.2395382395382395,0
2021,1,5,0.41682399259616526,0,25,2,7,17,47,1,0.37518037518037517,0
2019,1,5,0.2420268344106766,0,18,2,5,17,47,1,-0.2886002886002886,0
2020,1,5,0.13445935245037588,0,25,2,7,17,47,1,0.32323232323232326,0
2019,1,5,0.33614838112593975,1,25,2,7,17,47,1,0.23088023088023088,0
2021,1,6,-0.16135122294045107,1,48,2,5,17,43,1,-0.36075036075036077,0
2019,1,5,0.3832091544835713,1,48,2,7,17,47,0,-0.31746031746031744,0
2022,1,6,-0.2151349639206014,0,25,2,5,17,47,1,-0.18181818181818182,0
2019,1,5,0.2554727696557142,1,18,0,7,17,5,1,0.38095238095238093,2
2022,1,6,-0.09412154671526313,1,69,2,5,17,50,1,0.40404040404040403,1
2019,1,6,0.3294254135034209,1,48,2,5,17,43,0,-0.5425685425685426,0
2022,1,6,-0.3899321221060901,1,48,2,5,17,43,1,-0.3246753246753247,0
2022,1,4,-0.18824309343052625,0,34,2,5,17,44,1,-0.443001443001443,0
2010,1,5,0.5132571441296393,1,37,1,7,17,80,1,1.4935064935064934,0
2018,1,6,0.457161798331278,0,44,2,5,17,47,1,-0.2597402597402597,0
2009,1,5,1.3849313302388717,1,36,1,5,17,76,1,-0.15151515151515152,0
