t-SNE1,t-SNE2
24.93836,38.65477
27.37253,-25.573977
0.5138182,52.207855
37.11346,-8.535143
19.382765,-58.096123
17.016798,-57.141823
29.831293,-59.872044
10.917378,-43.77373
27.079414,-23.151308
30.930525,-31.215471
-24.36026,-45.932663
37.731533,35.88466
-42.871853,-23.62194
-39.521393,-14.698458
2.1278162,-3.6401737
65.77723,13.533707
-3.1501224,58.978275
2.6704855,24.156445
20.358318,39.426033
-27.331541,36.810127
35.490078,-13.838276
-48.62012,-24.53615
9.263597,21.978907
-12.22477,0.02128198
30.824078,-15.256069
-31.634697,30.613089
15.757749,24.018484
10.284317,-43.28799
-35.065437,33.980053
44.464603,13.392068
-8.391717,-24.440825
8.064401,-67.958824
42.084736,-4.7994194
28.605036,-37.165318
-54.888443,-0.45486808
6.9690723,-70.75931
32.460514,-14.767022
-30.00398,2.894057
-5.0881944,-59.736362
-16.326761,-1.7743745
-16.566776,-29.385595
63.94004,16.286837
-34.94429,33.88239
17.37873,39.973476
46.08039,14.245157
37.3651,13.636489
34.722073,-54.0636
-42.00205,-23.047064
66.8294,-3.0156498
-41.722107,-17.82315
-40.53563,-24.498425
34.229446,15.96577
32.60753,19.307861
33.984676,14.833725
-58.30402,1.6737229
-13.203377,-22.775143
10.981665,-38.17591
24.898907,-28.846413
8.868894,-38.50274
-22.28211,25.259737
-37.025326,32.741547
42.60547,-18.584341
37.495495,-36.489803
30.43431,-3.0564232
-55.9163,-19.865623
33.37031,19.042149
-15.753917,-23.24851
0.28508514,35.89002
32.894108,36.80183
-35.10357,35.159184
40.48186,3.8445702
19.700098,6.200782
8.940556,22.830585
-45.79779,-29.529633
-51.920734,-1.8446248
30.711658,7.3770657
-14.885552,-25.99948
27.281975,-24.650377
-25.93996,-38.084137
34.78404,14.103163
-49.06245,-18.365486
-18.689518,-1.2767006
66.36744,-3.8412552
32.460514,-14.767024
-25.57059,-38.916786
-22.36491,1.9722799
30.820417,-15.256839
-39.653168,-25.045935
37.495495,-36.489803
-37.32572,33.115147
-50.341236,-33.003498
-27.465342,-46.157413
6.0761375,31.690548
67.447014,-2.6280727
-8.063478,-24.708893
-0.86295784,22.193644
-22.49609,-38.027668
32.36943,-1.9700586
42.328407,15.220277
-39.850426,-21.714607
-49.536316,-18.045279
8.815422,-38.508717
-19.213242,-0.17340896
-50.69467,-32.734516
25.339283,-29.866236
-58.814156,-9.200436
32.460503,-14.767005
-10.16357,-22.269154
-26.696575,33.113632
-23.840445,-45.194275
35.317204,12.943043
27.30337,-24.703104
2.3350067,-4.503257
-42.32618,-8.037649
-13.7004795,-22.573042
30.510015,-13.655852
42.22068,-4.418992
-12.820045,-24.608536
-24.089235,-43.67965
-11.879498,-24.551512
21.601097,46.368664
-3.6509445,25.242697
-26.582258,33.20268
-48.091858,-30.969852
21.493908,40.0446
-2.3293233,21.913021
-25.632542,36.03022
-4.4920793,24.928482
-57.73447,0.9469159
34.43823,7.258144
-41.37678,-22.706648
34.0565,10.900337
-41.17422,-11.891396
-47.592587,-33.775482
-50.407196,-2.708399
30.785242,-32.097557
65.87554,-1.8549371
34.956306,-58.09923
52.263588,-19.326656
13.003341,25.79734
-42.449726,-21.533062
-3.8001935,-58.800255
30.99626,5.423439
-40.023148,-27.177172
-59.42386,-3.4732769
38.80213,-37.59751
44.184116,20.455624
4.5829964,35.05965
42.22057,-4.418802
25.727167,38.20511
30.536068,-31.011183
25.920694,-28.783281
7.12511,-55.561687
-42.73964,-19.32269
-40.901817,-20.834185
36.034134,-14.642258
39.63372,0.79047143
-34.504356,27.186163
33.635418,-48.19497
-47.174023,30.87576
-48.29865,-29.792942
-8.558848,-24.335909
-21.082396,5.182168
-56.009468,-20.14603
-44.35421,-17.26725
-57.52942,0.7836722
-24.037663,-40.94017
-0.31093183,34.227695
-59.92965,-9.209299
-36.32493,30.771463
64.554146,-4.0031157
-17.218136,-26.369066
25.091145,-26.48221
-46.45459,-17.493967
22.00783,5.997384
-47.830574,-17.622702
38.583538,2.9336843
19.80132,6.1392345
30.820417,-15.256839
30.786228,-32.09768
37.471462,37.216373
-25.05089,46.28026
22.412418,47.539146
-4.065938,31.93628
-27.520367,-44.39866
-31.985918,31.255335
25.764046,-28.061958
2.9832036,25.378576
4.2586536,-4.56801
62.806396,15.742773
1.3352084,36.08832
31.459652,-8.619243
42.374428,18.705948
30.621641,-31.006361
31.952225,7.8949804
41.657024,-4.356105
11.813222,57.786373
15.878288,23.857168
1.256504,-1.9764818
34.249126,-54.191994
33.424854,17.626726
61.410812,15.994593
10.354683,-43.380226
-26.777622,36.767593
19.344963,19.822416
-58.163986,1.5152129
-9.089085,-22.883682
39.621502,2.1503887
8.059114,-67.96203
30.803234,-15.268149
32.46051,-14.766993
31.413172,10.323404
40.489826,5.497229
27.139572,-29.690561
25.037172,38.034943
6.0635576,-8.225016
30.434324,-3.0565114
19.407396,19.923382
-0.68628246,-1.907269
42.19372,-4.381968
5.189633,30.518135
42.295525,3.576483
7.452906,-51.053062
7.1199126,-55.56256
33.477478,-48.569904
16.594734,-58.5856
17.363798,17.235918
-0.4294846,-1.8797543
-40.2371,-18.395807
-48.211643,-25.625175
10.615969,-43.589077
20.238565,40.427094
8.59093,-6.240313
-1.984878,-3.9434345
35.840168,-8.610998
-58.558258,1.0620289
-50.545155,-17.456766
27.223143,1.6547526
33.329685,11.8199415
4.056169,-4.1597133
-61.255825,-3.5646245
-56.332012,-20.026205
-33.309914,33.27858
31.979977,18.81343
2.3037648,-1.3990815
8.0719795,-6.398552
65.30123,14.342585
58.263927,17.024662
34.521557,15.094553
3.8409555,-3.7097101
7.891699,-6.624403
-33.30955,27.136747
7.3606114,-6.489036
34.492393,15.346973
-26.354853,36.744614
33.729134,-6.466013
-52.766075,-2.1688192
48.395035,-16.554384
4.4856224,-4.87827
34.02457,-6.940213
42.21696,-4.4137907
48.456894,-16.595812
-32.143925,39.925346
41.706825,-4.4569907
52.197124,-19.65363
-2.5644088,-43.05125
37.1094,-8.532117
-33.382675,26.781778
52.197124,-19.65363
52.263588,-19.326656
52.26356,-19.326649
-37.089016,25.04855
10.616068,-43.589108
2.9124494,-1.5165888
9.4295,-12.590007
62.744095,16.236183
62.316208,16.662941
-25.028288,-39.53358
9.750613,-11.767949
22.837658,39.57565
21.784548,39.6582
-14.804308,-23.14759
33.43152,8.43346
-27.400621,-44.94092
24.361553,39.18206
-54.9181,-0.35630682
32.4605,-14.766991
2.0678062,-1.4545022
62.260437,15.740795
-43.40343,-24.024157
-23.65597,-44.461033
-26.31594,-38.610985
-41.472416,-17.054087
30.802382,-15.268207
-51.438892,-2.0664883
67.31015,-0.016336827
