t-SNE1,t-SNE2
58.25998,14.568229
56.93325,56.461502
2.5258646,-55.540222
103.90763,14.512334
-38.7837,76.73219
-22.016779,77.56058
31.303408,69.75698
14.703877,57.459724
49.200905,59.82699
66.97482,105.5665
-31.427422,50.85702
40.082935,28.1636
-66.43512,36.60368
-50.528522,11.27228
23.0977,-70.59056
88.166695,-8.033307
-17.173779,-59.575607
-22.616037,-14.123903
42.85445,5.7832675
-29.101248,-77.051285
119.63658,11.833405
-60.120293,47.338768
-18.193092,-41.474205
-52.790546,-17.888815
122.46642,-1.4279253
-65.35092,-79.3736
14.5874605,-47.28183
10.521024,53.168304
-60.006046,-71.11399
25.76177,-87.857414
8.569597,15.304315
10.338075,90.497444
128.70027,-9.977612
72.16418,54.566353
-109.06456,30.73051
-1.0518426,94.06003
106.01337,-5.208774
-110.986336,-5.460405
-9.142833,108.25321
-57.75133,-4.332749
-16.47366,12.048937
102.65049,-21.959446
-60.05365,-71.18853
40.37686,-8.360206
29.006758,-83.101265
66.869194,-80.6943
53.429,92.86451
-68.2301,34.704056
73.90461,14.585241
-65.013756,17.097725
-76.9237,23.383457
68.75194,-96.6342
49.839,-108.18836
70.15349,-91.73298
-109.25245,47.58926
7.9551983,39.785763
0.4407115,118.22423
70.20198,63.275322
-11.317361,122.09707
-16.822954,-96.82016
-66.123276,-64.32163
114.38688,43.90191
53.608276,43.870617
117.082985,-31.423504
-6.0756392,71.6424
56.75761,-109.12723
1.2275854,41.041573
-8.759262,-34.540398
44.71595,17.863585
-55.149582,-71.5011
51.660397,-64.368126
24.346445,-26.181116
-17.733896,-38.458664
-77.858574,52.883305
-112.65985,20.701588
78.377365,-59.030064
-0.910089,29.070684
54.366863,58.08162
-30.43494,31.631765
74.490166,-89.68012
-48.4639,38.232357
-62.317932,0.37502715
74.73956,23.09032
106.013275,-5.208672
-28.521063,31.93393
-71.10693,4.5634437
121.14766,1.6742401
-80.84498,34.20574
53.60775,43.87054
-67.055275,-61.431194
-101.544586,66.55729
-12.030343,54.592625
1.5966111,-11.342848
73.0678,13.031429
6.072159,11.498883
15.315068,-13.704211
-16.976824,31.3243
109.64585,-42.13678
44.25013,-85.982254
-70.53976,28.602665
-46.68452,39.826702
-11.382626,122.07009
-63.1071,1.9858131
-98.95551,69.43821
68.10567,65.87233
-55.892986,68.932465
106.01437,-5.208214
15.620836,34.51403
-34.37816,-86.916756
-34.4763,50.57115
76.340935,-83.68324
