t-SNE1,t-SNE2
3.5841143,-23.450546
49.44494,33.683056
1.9851487,-64.21151
56.21524,7.7146378
11.63292,43.67266
8.943021,48.329586
22.099632,38.116455
13.485018,75.117615
50.41945,30.916437
51.216396,51.436195
-19.991045,54.69614
24.90964,-2.2742255
-42.012028,34.013
-42.239117,21.5811
-6.08,2.6993396
79.48925,-17.2044
-1.2571799,-73.0656
32.83368,-47.748257
3.8443074,-29.598148
-27.447802,-39.943535
54.391586,13.940206
-52.060814,30.681974
25.218449,-36.838608
-20.621193,2.5214317
48.386272,16.081528
-40.416733,-29.491404
20.059635,-31.11841
14.577223,75.54895
-40.3046,-34.410866
56.01004,-25.19401
-0.027134068,30.877382
-2.0505784,56.725075
65.325745,-0.8120884
40.83308,41.113613
-65.47836,2.3307977
-5.657607,59.106586
50.30086,15.307693
-43.064724,-2.9523106
-6.3830223,79.46393
-27.037075,5.8882933
-10.597902,35.20161
79.44708,-22.482506
-40.31583,-34.258293
4.0047903,-33.31168
55.992958,-23.327293
45.914642,-19.889372
25.63084,22.269995
-42.568157,32.73501
12.872333,11.334242
-43.204594,25.773933
-45.597164,33.163403
41.23144,-20.729307
37.206196,-24.707558
41.461018,-19.401484
-68.64116,-1.5901951
-4.769679,26.286135
21.569414,75.31703
50.341972,37.887474
22.736311,70.939415
-43.807213,-20.214092
-36.134064,-35.72904
62.345463,20.526442
39.340206,29.27072
47.3791,2.3690972
-62.540222,29.322063
38.196507,-24.462585
-7.6835465,26.180511
15.988033,-49.096905
22.548428,-7.892972
-41.64228,-35.25201
56.664856,-10.385004
36.212074,-0.73791033
24.067549,-36.73858
-45.132263,41.35253
-62.358322,4.664743
42.48199,-9.065768
-7.64432,30.398388
49.557953,32.488544
-19.0888,45.737133
42.83609,-19.005716
-53.168205,25.908964
-29.063078,3.196033
11.800567,11.985123
50.30086,15.307693
-20.049728,45.95699
-32.463837,-1.0818
48.38051,16.083124
-47.140793,33.813423
39.340195,29.270683
-36.640343,-36.171146
-46.30659,48.830307
-24.792355,54.4386
23.147552,-44.20322
13.936682,11.270301
0.5264127,30.685488
32.061256,-54.930973
-23.378403,44.126896
49.581806,0.5841793
53.46076,-25.437574
-44.578083,30.627644
-53.73113,25.54975
22.767708,70.90328
-29.927794,2.8703618
-45.55422,49.02817
49.24912,39.070507
-70.167046,15.346468
50.30086,15.307693
-1.3198899,26.486637
